,interval_start,interval_end,n_users,n_obs,roc_auc,pr_auc,p_const,p_borrow_rate_vs_open,p_ltv_vs_open,p_collateral_price_vs_open,p_collateral_price_vs_6h,p_volatility_6h,p_drawdown_6h,coef_const,coef_x1,coef_x2,coef_x3,coef_x4,coef_x5,coef_x6,cohort_users
0,2025-01-01,2025-02-01,4,2896,0.15198618307426592,0.0020325203252032522,5.111109116991413e-22,0.16221280721790954,0.03851854092836499,0.06369354955492902,0.17604284385821833,0.9005773642936046,0.8780207290860593,-6.509890777637486,0.22829450352182137,1.3513227680079831,0.87477190313586,-0.33740514491014895,0.04618748402597472,-0.056679120481272806,"['0x0d978De5F94e7588a1Ace46666a1A6e2B813061b', '0x5DC474D35E07632D4F9236CB5EAcafbdFd580Ebd', '0xE5E77Df5C8fa6DF672a2A08E441f8FAA36D20fdc', '0xf6c84b44d1697c804a4cbf04A35592360eb0b920']"
1,2025-02-01,2025-03-01,4,4638,0.2951660361496427,0.009870111417994997,4.81398392765606e-41,0.16272249249567394,0.09608811245862071,0.039467851747711814,0.6325975288963885,0.3816173505914934,0.2911965287599284,-6.439922917754512,0.30721388222169715,-0.7869221745361983,-0.8543564140809746,-0.13683664300544654,0.23472264660493947,0.45952645042628887,"['0x26408593BbaeeCd88C34F391A90c24B9665A9E14', '0x38ac78C059314F933DC7Bd348Fc1E7F11c33c002', '0x64e04a90dD419BFc1e2797971dB8772bCAfe8F11', '0xD6dA52Bd1a537F2C97938AA36891a65BD4370871']"
2,2025-03-01,2025-04-01,10,5438,0.4248877299724757,0.021770937391555726,3.9298765706473964e-100,0.9574795354081115,5.021909331054953e-05,0.5239843832251291,0.21653565286087606,0.030511852433257027,0.2728232779734564,-5.445972981742088,0.011155226698912236,0.6354674972267301,-0.16577279107290224,-0.18289468472805628,0.33604178720756356,0.2316484327909868,"['0x0e3a7e6f3B59C4395E2aab3D238638F9F8307175', '0x15FA6075F0E4d2fC1706f3625C571690496bA88e', '0x1a7f207D9Ee5b640611E915BA3c9b426c4F151a7', '0x360d374C6d7A2B04EbE1460f6F1A6b6Ab5Ed2ECB', '0x3cECF865BA67e0e4573197c9d77534139e9970eA', '0x50fe9966596cc8c21514C4603fCaB562227De5B2', '0x7Af7e4964818dec8723cb77263bAe297ab73adC0', '0x85752E9ddb867Fc0A2b98E0362153F54B811C2dD', '0xcD0d327B74863c168d43c751AdcdFb3303Eb6A35', '0xfA714DcF2d490A0E4d0b622E72CAF0c85FF7469f']"
3,2025-05-01,2025-06-01,8,2748,0.3262867647058823,0.008872521572959025,3.8567504349595836e-18,0.7857247749103631,0.0232436675851774,0.020581238798683812,0.6784377243123725,0.5363410239851101,0.6042850001349608,-7.1993084497757724,0.11252423032777505,-5.902673588034341,-3.717276656668379,0.18595376733599528,-0.3930333989292359,-0.24188171458898458,"['0x0E19faC1b175FfB6a4B5A358aB3c0F44C0254f42', '0x4A19Ab56b21c83297758d43E858AfdB9CFfe50F8', '0x54247EfC6D0f50f611c45C4472fBcAdeCAb74D39', '0x5B0493915b7dBbC02dAb42D0FDF9cbD4F73857f8', '0x6b83b15FA4D08a3B711b6AD3442Bb0a603CbB55a', '0x7a02c16F8691203cF7A3664cdd4785df655378Cd', '0xD423895C2D31D5C352952695CbB54F1c6aE99316', '0xd1BB2B2871730BC8EF4D86764148C8975b22ce1E']"
4,2025-06-01,2025-07-01,8,2160,0.7192575406032482,0.00819672131147541,8.378548148994633e-29,0.3550491717711919,0.733873776465421,0.7992720243404292,0.7903788741179812,0.5129987272769271,0.2266546816368049,-5.806858911923464,0.2853787640012671,0.16198282677084916,-0.13717194333143973,0.09970610280210157,0.2439798374279033,1.0158099096726805,"['0x0eD6210b49f8d33164f49a89a1De16BDAc28ff41', '0x4273D1714740fD677f263Fcd7229185e9b1723cf', '0x5799A7ce7a9aA333311ed358EcbE1612B706806F', '0x837381Dd3eda5C672e77F1C076DBB04fB98aCcBA', '0x84f76C5C7e3d787940104FAD3101AF15A09DEeEE', '0x94e64d925eA0D2ea9b143bCe58A74946cF76Da92', '0xBeEE6aA34F95752Da03E00B554494bb6C47d72e9', '0xbA7EBe92Fa678e3B40D635Fa2bde628dc0Ec24F9']"
5,2025-07-01,2025-08-01,19,3232,0.8794584500466853,0.26250487851508325,3.8345608718159646e-103,0.03436959840520087,0.12174372470428427,0.007276621539359305,0.3627439140686045,0.6705986167748332,0.8796570721008774,-4.457645607615974,-0.6176586531003914,-0.3279331683078984,0.6354860187936102,0.15066042325880752,0.08738468147468464,0.030645164658542553,"['0x1F2D52Aa4A942967Cfc92253FBeD3cD60Fa62f1a', '0x1e50Ae17fCd800D50bb559D71cfD42a71e2AA3e6', '0x1e5d1A4Bb553309E39fC1D192452899fa8314582', '0x31CBA956168D210096676e7772a73B82D419b04e', '0x327da126460A1FC7f182C70CDea803C7b76C212c', '0x36AedBfeFa3Bef7FDFbaB3ba75F7852904889F4a', '0x463CB0Bb6494E8d4e3894f78bA2DfE6feeF0F2ce', '0x485f31008Dd5d316214291F54dC47dbA539DE4A3', '0x48962fb8aa014b2106FE38462e1181e614ADEd1d', '0x4a4C63984e57832728Ad2Fa7cFAc844246Cb3dE2', '0x5470DcE597420Cd3A5B3512CEDb1557DeA9bAC1c', '0x6E9845e7c1543E099a880405258c02B7adAd1d5C', '0x80A452fDc4fFDC0b81529741388A631D8e516797', '0x83eC4F273b4cF6BC24eac23CF2C16Aedb5acE939', '0xB12651cA39eC08ea73420AB3FA3EA2406463D44c', '0xB9A26c96ad7e5b9318EB60b8E7236EddC7d68b33', '0xD70eCBe686825061D2AE7a4532BDeE114Dc8FE39', '0xEfFec932aaF95f65D86A77BF5e3997Ba0D27c944', '0xfd6b931Bba51e18C3D34F370e2f3E7292827b14A']"
6,2025-08-01,2025-09-01,20,3172,0.580952380952381,0.012475948024398114,4.280481517503319e-91,0.025092654476596365,0.729251690139611,0.015511419496801656,0.009496007717346381,0.1774637462312213,0.06778206906174293,-4.537500223719844,-0.982349035098259,0.055446023273035286,0.5508296473327314,0.384820889609319,0.23659334335024654,0.3814046219496791,"['0x107cc4844E78Ee4BCa2dBf783332A25Cab771c10', '0x19DE14dCD5ca1F67B058707db40091AC19e0c922', '0x1f2cfb5A997a0DF207dDD8B4A1a512B9793c1Dfc', '0x23FACE08BA5c730cC79d2eB05EE43b45A2879c35', '0x3b3ec62FDEC0eF24c4a4DBE04fCcF2FbcdfC955C', '0x5c5533F50B713345B4bf233687fc2166Af574C58', '0x65BD441596d4FBe3d36971ddC81cBDe63422bBeB', '0x8CB03340bfd2b001baC84FFD51f098BB2DCd2090', '0x8DC06473adc98e78ddf86d95ffeC2d265637b782', '0x8F8470079C9D92536612Bb6c7930b90CbA01F2D5', '0x8c0687700f7fFF5051B6E3a0Be8A1673E8fd9FA3', '0x91Dbf1A48d6ab2FC8b48ADF8BfB3216C25E53148', '0xA3FcF663369ef89D657E09cCdeEa04cdfEE00a23', '0xAbfFDa87A1987143e431fC9B233b7DD39723d41D', '0xB511433220aBafdF8Ef73311373ad115f6b18266', '0xCb24Fc5cD6e2A6D46cC9CB26765Bc51DEB49a5f7', '0xD423895C2D31D5C352952695CbB54F1c6aE99316', '0xD50F26be447122A00046A3D6b08C1bCd3791B6d1', '0xD8bFFCCA5B609Bf3CD2b99B553518B2c8471416a', '0xaE7D81BC4f6b0067331004052d50f77E7aE17541']"
7,2025-09-01,2025-10-01,13,3161,0.48092209856915735,0.00739163022228056,1.1062558565400664e-109,0.28631748972763826,0.6813275041749329,0.7839065833683955,0.5450722286243,0.06704449204912764,0.01718708229953078,-4.3346593084411245,-0.3495821811747286,-0.07350026747453159,0.06255358323916335,-0.08718828616561472,0.2896935056693927,0.6858215451799978,"['0x15030703B5956BaAE1aF2D8DD23Dda7F9910cC57', '0x2b3889BbEfce1954e03d1fcC87FD212a24e064FA', '0x34ed5f83B5DF17e0FD0Ad975Ea392bDA15F2BD55', '0x52bbd4c02F948790e43F3Ce4A25f2e8d74e35DE0', '0x72c80a53dc447E3f56C44524C64e7386470B7Cae', '0x848f0e2c41103Ba786bE12008a1FFd72865377Ef', '0x8f70775a7aF831BEab1F6493236A2c68Ad1de8F4', '0x9e32Aa8B8a208735D5bBb5727a60236380C94E1F', '0xB14626EfF11db85073E179f5C39f4cDf146C09AD', '0xCc6052C984B01AFbA55B3189D2B95880CB5baE75', '0xbE81dbEE533AD682fbd04553467558D6443b064F', '0xc0F0d5bDd91e0Fa122578b76321FCa211de2b342', '0xf47c1AD3B3341D6ad3277Cd5c88Acb35CEaf39a9']"
8,2025-10-01,2025-11-01,24,3242,0.6249395258829221,0.03440315456661007,9.37071131990969e-119,0.010001925032116834,0.8745357233008222,0.0009424544207605837,0.3349336844402213,0.012391417053945015,0.051442805830715484,-4.316945080310157,-0.554299517761148,0.027972022945898,0.6936678846005915,-0.1378455479322297,0.3935545583383866,0.4107134398378011,"['0x01a66607e2F13f89c1AF094e7bac50082F094686', '0x052111B6c0cDC73d72925931aCA83B21d7481689', '0x11a6DcA48ef746F0A8078762Aa4ED8234cE8de20', '0x1cC8790E054e3fb2687e99A2E05272237dF9443F', '0x20bc5BF062D1cEfad8043195AA44485144172e87', '0x261BD70d614b487B78591A7AdB757b00c9f20be3', '0x4F3f374f742BE74b04ce3E6361993b3c1DBc4247', '0x5f238e89F3ba043CF202E1831446cA8C5cd40846', '0x6619309Fb4F0A706360EA884454ae61f938B1A00', '0x7bB393dCeEc0B8cAB15891d8e9A9ceE5301709D9', '0x808700A1eDFEDa468d34d08cA8a0397bad2298d9', '0x837cdFaCb71e3d561801296d31eAa78D3f961612', '0x96D17871f1d0c415205677B8122bbD06A976D39C', '0x97DD39E8a8e4546F94410121b88F77d22AaAEbC8', '0xA3Cef5b53836C3F0EbA72A5559F48509d6A272d5', '0xB15D23C1380B60eCaDB569403338B89B99213EE6', '0xB5153F8b3Ee8B9BaAe9Fa96A9A7943a64a4D6d10', '0xD11615dD15B5c74d328C499B9D9aa842E2751dbf', '0xD6dA52Bd1a537F2C97938AA36891a65BD4370871', '0xE1d6088E3302facDbcC9fB79219F752BE825d2dc', '0xF2577bca08F56Ec653b9b0AE915af98cC019CC41', '0xa1855dA2B5ea088590d3429Bfd6adB4F37fbfa01', '0xd11a286cdC49fcDD29d1e106fB524f03da8D0bB3', '0xfF6b511B47fEaffB66CEd5a63C5aa2E4394FD7cD']"
9,2025-11-01,2025-12-01,19,1870,0.34350282485875705,0.039277846508729584,1.4175439569695864e-66,0.00699152281307771,2.7591392349395845e-10,3.201623062711739e-14,0.8178157850738992,9.396785847759739e-05,0.7546267681549172,-3.3517144458386197,-0.6363527037528872,-0.6942332180108413,-1.6022905950820825,-0.021727393546953723,-0.4759943794812574,0.043879576013864816,"['0x02db329F9aB8B9dD368238F24F3F371Cf6ee89Ba', '0x1E4EF326aD889C0ce5172B90dbd0eb5195e407CC', '0x1cC8790E054e3fb2687e99A2E05272237dF9443F', '0x1cFF9CcEC27433De5bc1F0712fbD1F5f80f1a620', '0x1f4932ae47Aaa35723ddAd565238FF709048596f', '0x23FA466f585F00840B66949854AF0e18914d6fa1', '0x34A491F442Bf7CdeEdc37448222E3bc8C570E887', '0x37396D4039415562fb6aA1259753169e305D0c2f', '0x6344fEc307f50466646338bc1c4EaF41A38cb93D', '0x7eF7E5503704357fBb9b15eaBE75D84EbA97cA33', '0x82768d338d948B73B781Dd43F6a92f3DCb09764C', '0x84F39546A6148f84a576129ded5B163585eca202', '0x8615f699D884bCD412da523Eb757f44AD815ABC5', '0x8D3C88001290A7791CB53d1620D77351CcA9dF8f', '0xA01Ad5f0b5C521266d1dd3f926dA92f2CD9661e2', '0xA45C4161aE95569881368318feaAf922F861209D', '0xb702260E61b5d4832379DfB4ec97C19eC6fE3B8D', '0xf4Ecd1Dc2c437affBb36fdcd6B5b44ca6f601E4c', '0xfF3771C68e3fe1de74C927364Eef12a500828CfE']"
